Act,Acts of the Apostles
1Ch,1 Chronicles
2Ch,2 Chronicles
Col,Colossians
1Co,1 Corinthians
2Co,2 Corinthians
Dan,Daniel
Deu,Deuteronomy
Ecc,Ecclesiastes
Eph,Ephesians
Exo,Exodus
Eze,Ezekiel
Gal,Galatians
Gen,Genesis
Hab,Habakkuk
Hag,Haggai
Heb,Hebrews
Hos,Hosea
Isa,Isaiah
Jas,James
Jer,Jeremiah
Jos,Joshua
Jud,Jude
Jdg,Judges
1KI,1 Kings
2KI,2 Kings
Lam,Lamentations
Lev,Leviticus
Mal,Malachi
Mat,Matthew
Mic,Micah
Nah,Nahum
Neh,Nehemiah
Num,Numbers
Oba,Obadiah
1Pe,1 Peter
2Pe,2 Peter
Phi,Philippians
Phm,Philemon
Pro,
Psa,Psalms
Rev.,Revelations
Rom.,Romans
1Sa,1 Samuel
2Sa,2 Samuel
SNG,Song of Solomon
1TH,1 Thessalonians
2TH,2 Thessalonians
1TI,1 Timothy
2TI,2 Timothy
Tit,Titus
Zec,Zechariah
Zep,Zephaniah
