Age,n,nNx,nDx,nax
0,1,494242,970,0.0585
1,4,2023160,371,1.519
5,5,2578197,184,2.5
10,5,2771333,183,2.5
15,5,2895381,365,2.5
20,5,2917023,655,2.5
25,5,3185365,912,2.5
30,5,3595091,1322,2.5
35,5,4237233,2164,2.5
40,5,4724170,3617,2.5
45,5,4168596,4977,2.5
50,5,3831761,6888,2.5
55,5,3818951,10040,2.5
60,5,4642774,17443,2.5
65,5,4667498,26129,2.5
70,5,4142616,37572,2.5
75,5,3501533,57730,2.5
80,5,2906390,95442,2.5
85,5,3501533,132790,2.5
90,5,976600,127483,2.5
95,5,290048,65107,2.5
100,5,50789,18305,2.5
105,5,3300,1670,1.5
110,,78,49,
